solucion,job,operacion,maquina_asignada,costo,tiempo
7,9,4,3,17.00,53.00
7,9,5,4,19.00,10.00
7,9,6,6,7.00,53.00
7,10,1,5,21.00,97.00
7,10,2,4,10.00,20.00
7,10,3,5,10.00,28.00
7,10,4,6,18.00,41.00
7,10,5,3,9.00,124.00
7,10,6,5,16.00,25.00
8,1,1,1,5.00,75.00
8,1,2,5,22.00,57.00
8,1,3,6,13.00,23.00
8,1,4,1,36.00,23.00
8,1,5,6,22.00,36.00
8,1,6,1,5.00,90.00
8,2,1,3,13.00,16.00
8,2,2,3,29.00,18.00
8,2,3,3,43.00,32.00
8,2,4,4,7.00,22.00
8,2,5,3,20.00,18.00
8,2,6,1,23.00,19.00
8,3,1,4,20.00,28.00
8,3,2,3,35.00,47.00
8,3,3,1,12.00,47.00
8,3,4,5,5.00,60.00
8,3,5,4,29.00,17.00
8,3,6,4,45.00,14.00
8,4,1,6,16.00,81.00
8,4,2,4,23.00,13.00
8,4,3,3,21.00,18.00
8,4,4,2,27.00,17.00
8,4,5,6,29.00,47.00
8,4,6,6,34.00,40.00
8,5,1,2,22.00,24.00
8,5,2,3,24.00,16.00
8,5,3,2,18.00,18.00
8,5,4,2,27.00,64.00
8,5,5,4,46.00,60.00
8,5,6,5,22.00,83.00
8,6,1,2,13.00,82.00
8,6,2,5,5.00,12.00
8,6,3,3,28.00,22.00
8,6,4,5,26.00,40.00
8,6,5,4,47.00,19.00
8,6,6,6,47.00,70.00
8,7,1,3,12.00,18.00
8,7,2,1,11.00,25.00
8,7,3,6,16.00,18.00
8,7,4,3,10.00,38.00
8,7,5,4,46.00,11.00
8,7,6,2,30.00,14.00
8,8,1,5,43.00,34.00
8,8,2,4,14.00,97.00
8,8,3,4,7.00,17.00
8,8,4,4,37.00,35.00
8,8,5,5,16.00,51.00
8,8,6,4,35.00,17.00
8,9,1,4,48.00,45.00
8,9,2,3,19.00,24.00
8,9,3,5,19.00,65.00
8,9,4,5,37.00,17.00
8,9,5,4,19.00,10.00
8,9,6,6,7.00,53.00
8,10,1,4,44.00,60.00
8,10,2,4,10.00,20.00
8,10,3,5,10.00,28.00
8,10,4,3,35.00,12.00
8,10,5,5,33.00,80.00
8,10,6,5,16.00,25.00
9,1,1,1,5.00,75.00
9,1,2,5,22.00,57.00
9,1,3,6,13.00,23.00
9,1,4,1,36.00,23.00
9,1,5,6,22.00,36.00
9,1,6,1,5.00,90.00
9,2,1,3,13.00,16.00
9,2,2,3,29.00,18.00
9,2,3,6,14.00,64.00
9,2,4,4,7.00,22.00
9,2,5,3,20.00,18.00
9,2,6,1,23.00,19.00
9,3,1,4,20.00,28.00
9,3,2,3,35.00,47.00
9,3,3,1,12.00,47.00
