solucion,job,operacion,maquina_asignada,costo,tiempo
26,4,3,1,15.00,16.00
27,1,1,2,20.00,173.00
27,1,2,2,30.00,70.00
27,1,3,1,9.00,97.00
27,2,1,1,18.00,95.00
27,2,2,3,20.00,94.00
27,2,3,3,12.00,53.00
27,3,1,1,5.00,155.00
27,3,2,3,21.00,28.00
27,3,3,3,8.00,178.00
27,4,1,1,16.00,30.00
27,4,2,2,16.00,161.00
27,4,3,1,15.00,16.00
28,1,1,1,29.00,119.00
28,1,2,2,30.00,70.00
28,1,3,3,32.00,44.00
28,2,1,1,18.00,95.00
28,2,2,3,20.00,94.00
28,2,3,1,33.00,13.00
28,3,1,1,5.00,155.00
28,3,2,1,43.00,14.00
28,3,3,2,40.00,78.00
28,4,1,1,16.00,30.00
28,4,2,1,50.00,45.00
28,4,3,1,15.00,16.00
29,1,1,1,29.00,119.00
29,1,2,2,30.00,70.00
29,1,3,1,9.00,97.00
29,2,1,1,18.00,95.00
29,2,2,3,20.00,94.00
29,2,3,3,12.00,53.00
29,3,1,1,5.00,155.00
29,3,2,3,21.00,28.00
29,3,3,2,40.00,78.00
29,4,1,2,9.00,39.00
29,4,2,2,16.00,161.00
29,4,3,1,15.00,16.00
30,1,1,2,20.00,173.00
30,1,2,2,30.00,70.00
30,1,3,1,9.00,97.00
30,2,1,1,18.00,95.00
30,2,2,3,20.00,94.00
30,2,3,3,12.00,53.00
30,3,1,1,5.00,155.00
30,3,2,3,21.00,28.00
30,3,3,3,8.00,178.00
30,4,1,2,9.00,39.00
30,4,2,2,16.00,161.00
30,4,3,1,15.00,16.00
31,1,1,2,20.00,173.00
31,1,2,2,30.00,70.00
31,1,3,1,9.00,97.00
31,2,1,1,18.00,95.00
31,2,2,3,20.00,94.00
31,2,3,3,12.00,53.00
31,3,1,1,5.00,155.00
31,3,2,3,21.00,28.00
31,3,3,1,28.00,90.00
31,4,1,2,9.00,39.00
31,4,2,2,16.00,161.00
31,4,3,1,15.00,16.00
32,1,1,2,20.00,173.00
32,1,2,2,30.00,70.00
32,1,3,1,9.00,97.00
32,2,1,1,18.00,95.00
32,2,2,3,20.00,94.00
32,2,3,3,12.00,53.00
32,3,1,1,5.00,155.00
32,3,2,3,21.00,28.00
32,3,3,1,28.00,90.00
32,4,1,1,16.00,30.00
32,4,2,2,16.00,161.00
32,4,3,1,15.00,16.00
33,1,1,1,29.00,119.00
33,1,2,2,30.00,70.00
33,1,3,3,32.00,44.00
33,2,1,1,18.00,95.00
33,2,2,3,20.00,94.00
33,2,3,1,33.00,13.00
33,3,1,1,5.00,155.00
33,3,2,3,21.00,28.00
33,3,3,2,40.00,78.00
33,4,1,1,16.00,30.00
33,4,2,1,50.00,45.00
33,4,3,1,15.00,16.00
34,1,1,1,29.00,119.00
34,1,2,2,30.00,70.00
34,1,3,3,32.00,44.00
34,2,1,1,18.00,95.00
34,2,2,3,20.00,94.00
34,2,3,3,12.00,53.00
34,3,1,1,5.00,155.00
34,3,2,3,21.00,28.00
34,3,3,1,28.00,90.00
34,4,1,1,16.00,30.00
34,4,2,3,38.00,94.00
34,4,3,1,15.00,16.00
35,1,1,1,29.00,119.00
35,1,2,2,30.00,70.00
35,1,3,1,9.00,97.00
35,2,1,1,18.00,95.00
35,2,2,3,20.00,94.00
35,2,3,3,12.00,53.00
35,3,1,1,5.00,155.00
35,3,2,3,21.00,28.00
35,3,3,3,8.00,178.00
35,4,1,2,9.00,39.00
35,4,2,1,50.00,45.00
35,4,3,1,15.00,16.00
36,1,1,1,29.00,119.00
36,1,2,2,30.00,70.00
36,1,3,3,32.00,44.00
36,2,1,1,18.00,95.00
36,2,2,3,20.00,94.00
36,2,3,1,33.00,13.00
36,3,1,2,7.00,162.00
36,3,2,3,21.00,28.00
36,3,3,2,40.00,78.00
36,4,1,2,9.00,39.00
36,4,2,1,50.00,45.00
36,4,3,1,15.00,16.00
37,1,1,1,29.00,119.00
37,1,2,2,30.00,70.00
37,1,3,3,32.00,44.00
37,2,1,1,18.00,95.00
37,2,2,3,20.00,94.00
37,2,3,3,12.00,53.00
37,3,1,2,7.00,162.00
37,3,2,3,21.00,28.00
37,3,3,1,28.00,90.00
37,4,1,2,9.00,39.00
37,4,2,1,50.00,45.00
37,4,3,1,15.00,16.00
38,1,1,1,29.00,119.00
38,1,2,2,30.00,70.00
38,1,3,1,9.00,97.00
38,2,1,1,18.00,95.00
38,2,2,3,20.00,94.00
38,2,3,1,33.00,13.00
38,3,1,1,5.00,155.00
38,3,2,3,21.00,28.00
38,3,3,1,28.00,90.00
38,4,1,1,16.00,30.00
38,4,2,1,50.00,45.00
