Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance
0.100000,1000,4000,0.9,0.01,55167.00,52715.00,0.007698
0.100000,1000,4000,0.9,0.01,37604.00,66768.00,0.019808
0.100000,1000,4000,0.9,0.01,18890.00,203136.00,0.013788
0.100000,1000,4000,0.9,0.01,21938.00,151358.00,0.020169
0.100000,1000,4000,0.9,0.01,18158.00,214041.00,0.005209
0.100000,1000,4000,0.9,0.01,17361.00,227012.00,0.008356
0.100000,1000,4000,0.9,0.01,16027.00,247656.00,0.001741
0.100000,1000,4000,0.9,0.01,22642.00,137837.00,0.014570
0.100000,1000,4000,0.9,0.01,25604.00,87645.00,0.036007
0.100000,1000,4000,0.9,0.01,23884.00,118227.00,0.011788
0.100000,1000,4000,0.9,0.01,16245.00,241234.00,0.013732
0.100000,1000,4000,0.9,0.01,52896.00,55141.00,0.004090
0.100000,1000,4000,0.9,0.01,36062.00,69192.00,0.013618
0.100000,1000,4000,0.9,0.01,19861.00,186915.00,0.010564
0.100000,1000,4000,0.9,0.01,21665.00,155435.00,0.006935
0.100000,1000,4000,0.9,0.01,20640.00,174476.00,0.024537
0.100000,1000,4000,0.9,0.01,55587.00,51733.00,0.009706
0.100000,1000,4000,0.9,0.01,17684.00,224539.00,0.003808
0.100000,1000,4000,0.9,0.01,17685.00,223660.00,0.005761
0.100000,1000,4000,0.9,0.01,18734.00,206300.00,0.006625
0.100000,1000,4000,0.9,0.01,18704.00,206522.00,0.003058
0.100000,1000,4000,0.9,0.01,29638.00,73811.00,0.044735
0.100000,1000,4000,0.9,0.01,30257.00,73341.00,0.024545
0.100000,1000,4000,0.9,0.01,53558.00,54748.00,0.010801
0.100000,1000,4000,0.9,0.01,23991.00,116465.00,0.008988
0.100000,1000,4000,0.9,0.01,53621.00,53882.00,0.006288
0.100000,1000,4000,0.9,0.01,17657.00,223373.00,0.007517
0.100000,1000,4000,0.9,0.01,18307.00,211913.00,0.028229
0.100000,1000,4000,0.9,0.01,18649.00,205971.00,0.009811
0.100000,1000,4000,0.9,0.01,43659.00,62305.00,0.038089
0.100000,1000,4000,0.9,0.01,65798.00,42147.00,0.015864
0.100000,1000,4000,0.9,0.01,25343.00,93197.00,0.018794
0.100000,1000,4000,0.9,0.01,19981.00,183057.00,0.023067
0.100000,1000,4000,0.9,0.01,37362.00,68026.00,0.013949
0.100000,1000,4000,0.9,0.01,29347.00,72956.00,0.060459
0.920000,1000,4000,0.9,0.01,67442.00,39575.00,0.000000
0.920000,1000,4000,0.9,0.01,67417.00,41290.00,0.001762
0.920000,1000,4000,0.9,0.01,56574.00,52113.00,0.008994
0.920000,1000,4000,0.9,0.01,64997.00,43979.00,0.006264
0.920000,1000,4000,0.9,0.01,57893.00,50354.00,0.012411
0.920000,1000,4000,0.9,0.01,19399.00,191425.00,0.012172
0.920000,1000,4000,0.9,0.01,42408.00,62964.00,0.015489
0.920000,1000,4000,0.9,0.01,31464.00,71775.00,0.017874
0.920000,1000,4000,0.9,0.01,17635.00,218045.00,0.007612
0.920000,1000,4000,0.9,0.01,24496.00,108777.00,0.006393
0.920000,1000,4000,0.9,0.01,20752.00,163859.00,0.014111
0.920000,1000,4000,0.9,0.01,35491.00,68396.00,0.017404
0.920000,1000,4000,0.9,0.01,63439.00,45140.00,0.016570
0.920000,1000,4000,0.9,0.01,30674.00,73934.00,0.003196
0.920000,1000,4000,0.9,0.01,50845.00,56001.00,0.005920
0.920000,1000,4000,0.9,0.01,36728.00,67088.00,0.033940
0.920000,1000,4000,0.9,0.01,24569.00,107917.00,0.001733
0.920000,1000,4000,0.9,0.01,21468.00,156337.00,0.010024
0.920000,1000,4000,0.9,0.01,46411.00,59986.00,0.020041
0.920000,1000,4000,0.9,0.01,47351.00,58452.00,0.018068
0.920000,1000,4000,0.9,0.01,22380.00,143156.00,0.010129
0.920000,1000,4000,0.9,0.01,50285.00,56980.00,0.003942
0.920000,1000,4000,0.9,0.01,22130.00,148978.00,0.004919
0.920000,1000,4000,0.9,0.01,17906.00,213763.00,0.015135
0.920000,1000,4000,0.9,0.01,16760.00,237682.00,0.004289
0.920000,1000,4000,0.9,0.01,38563.00,66406.00,0.027856
0.920000,1000,4000,0.9,0.01,53055.00,54344.00,0.003856
0.920000,1000,4000,0.9,0.01,56652.00,51234.00,0.010827
0.920000,1000,4000,0.9,0.01,19936.00,185499.00,0.011849
0.920000,1000,4000,0.9,0.01,62670.00,45812.00,0.016894
0.920000,1000,4000,0.9,0.01,57442.00,51020.00,0.010086
0.920000,1000,4000,0.9,0.01,50850.00,55914.00,0.013661
0.920000,1000,4000,0.9,0.01,22191.00,147758.00,0.005267
0.920000,1000,4000,0.9,0.01,66920.00,42205.00,0.004754
0.920000,1000,4000,0.9,0.01,58656.00,49783.00,0.016645
0.920000,1000,4000,0.9,0.01,15837.00,246757.00,0.011292
0.920000,1000,4000,0.9,0.01,33003.00,69813.00,0.023181
0.920000,1000,4000,0.9,0.01,18515.00,207449.00,0.019937
0.920000,1000,4000,0.9,0.01,41897.00,64358.00,0.008028
0.920000,1000,4000,0.9,0.01,21782.00,155048.00,0.006115
0.920000,1000,4000,0.9,0.01,35475.00,69427.00,0.006530
0.920000,1000,4000,0.9,0.01,24738.00,99340.00,0.022716
0.920000,1000,4000,0.9,0.01,60992.00,47656.00,0.005884
0.920000,1000,4000,0.9,0.01,61974.00,46393.00,0.008863
0.920000,1000,4000,0.9,0.01,39288.00,65613.00,0.016308
0.920000,1000,4000,0.9,0.01,45363.00,60552.00,0.014856
0.920000,1000,4000,0.9,0.01,24688.00,103588.00,0.021230
0.920000,1000,4000,0.9,0.01,49113.00,57774.00,0.013745
0.920000,1000,4000,0.9,0.01,67403.00,41436.00,0.001658
0.920000,1000,4000,0.9,0.01,19810.00,189823.00,0.005601
0.920000,1000,4000,0.9,0.01,65731.00,42961.00,0.010052
0.920000,1000,4000,0.9,0.01,40591.00,65128.00,0.008115
0.920000,1000,4000,0.9,0.01,31202.00,73187.00,0.006197
0.920000,1000,4000,0.9,0.01,50199.00,57481.00,0.003418
0.920000,1000,4000,0.9,0.01,19364.00,195994.00,0.014449
0.920000,1000,4000,0.9,0.01,25742.00,83920.00,0.024965
